南投縣,南投市,嘉和里,35,32,991,179,1232,17,73,68,155,6,2,68,3891
南投縣,南投市,平和里,39,33,1274,351,2021,25,57,70,237,6,12,90,5801
南投縣,南投市,振興里,16,21,535,186,560,11,30,18,53,6,13,37,2040
南投縣,南投市,千秋里,20,12,226,69,302,4,12,7,41,1,5,19,972
南投縣,南投市,軍功里,54,31,916,182,1454,17,54,47,236,2,6,85,4285
南投縣,南投市,東山里,6,3,91,23,121,2,3,4,14,0,1,9,392
南投縣,南投市,營南里,19,14,483,90,844,6,28,23,150,2,8,30,2208
南投縣,南投市,營北里,25,26,797,259,2572,111,38,111,399,3,1,74,5532
南投縣,南投市,內興里,51,35,1090,251,2308,58,78,80,406,10,10,103,5809
南投縣,南投市,內新里,20,7,359,85,441,3,16,11,96,3,4,33,1396
南投縣,南投市,光輝里,8,1,69,17,262,5,5,10,34,0,0,12,551
南投縣,南投市,光榮里,4,3,83,45,678,41,5,11,144,1,1,20,1383
南投縣,南投市,光明里,3,9,76,29,715,20,3,22,148,0,2,12,1291
南投縣,南投市,光華里,7,7,62,33,584,33,3,4,105,0,2,7,1114
南投縣,南投市,漳興里,25,25,627,204,808,10,34,35,121,4,6,39,2544
南投縣,南投市,漳和里,48,50,1414,376,2311,36,78,65,260,4,8,110,6440
南投縣,南投市,平山里,37,40,998,271,1617,22,72,61,205,9,9,78,4795
南投縣,南投市,新興里,38,32,1108,217,1341,25,53,39,193,4,8,86,4434
南投縣,南投市,永豐里,15,13,646,164,835,6,37,21,108,6,7,33,2630
南投縣,南投市,福興里,32,17,691,173,842,16,25,16,134,6,5,65,2764
南投縣,南投市,鳳山里,22,12,307,81,283,5,18,6,35,4,2,57,1174
南投縣,南投市,永興里,13,9,207,37,214,3,5,10,22,2,3,41,769
南投縣,南投市,鳳鳴里,11,7,215,42,144,1,10,9,11,2,1,36,685
南投縣,南投市,福山里,33,23,433,74,549,10,38,13,65,6,6,54,1811
南投縣,名間鄉,南雅村,5,11,248,79,337,3,11,11,46,0,1,16,1017
南投縣,名間鄉,中正村,33,17,799,200,970,10,28,26,103,5,9,60,3162
南投縣,名間鄉,中山村,22,17,539,154,586,64,33,18,80,3,9,66,2150
南投縣,名間鄉,濁水村,14,14,421,116,429,5,21,16,49,2,3,23,1574
南投縣,名間鄉,新民村,16,14,320,47,255,3,7,6,48,0,3,22,987
南投縣,名間鄉,炭寮村,17,17,246,67,271,8,7,7,30,1,4,18,987
南投縣,名間鄉,新街村,33,38,1136,249,1094,11,59,40,119,2,8,85,3923
南投縣,名間鄉,東湖村,23,9,453,110,431,7,31,14,44,5,6,51,1633
南投縣,名間鄉,仁和村,9,6,171,33,333,2,11,6,18,1,1,18,869
南投縣,名間鄉,萬丹村,16,10,290,72,213,2,12,8,45,7,1,36,969
