臺北市,士林區,後港里,0,3,3,0,2,315,561,10,1222
臺北市,士林區,福中里,0,10,1,2,4,308,747,10,1432
臺北市,士林區,福中里,1,3,1,0,11,337,700,17,1423
臺北市,士林區,福中里,3,19,1,0,3,390,705,7,1482
臺北市,士林區,福中里,1,12,0,3,11,308,730,17,1443
臺北市,士林區,前港里,1,12,2,2,2,264,565,17,1181
臺北市,士林區,前港里,1,9,0,1,5,347,711,12,1401
臺北市,士林區,前港里,0,11,0,2,6,294,625,4,1223
臺北市,士林區,百齡里,0,7,0,0,3,345,773,21,1534
臺北市,士林區,百齡里,4,9,2,1,6,360,777,13,1552
臺北市,士林區,百齡里,0,7,4,1,8,317,756,6,1481
臺北市,士林區,百齡里,0,23,1,2,6,388,703,10,1530
臺北市,士林區,承德里,1,7,2,1,3,466,618,12,1565
臺北市,士林區,承德里,1,6,1,1,8,407,690,8,1569
臺北市,士林區,承德里,0,17,1,1,7,475,703,18,1764
臺北市,士林區,福華里,0,5,1,1,9,311,547,11,1303
臺北市,士林區,福華里,0,6,1,0,6,254,485,9,1107
臺北市,士林區,福華里,2,8,2,1,4,355,583,17,1492
臺北市,士林區,福華里,1,12,1,1,7,398,786,8,1639
臺北市,士林區,明勝里,2,7,1,1,0,348,609,15,1350
臺北市,士林區,明勝里,1,7,2,2,6,360,692,15,1490
臺北市,士林區,明勝里,0,10,1,2,8,331,733,16,1450
臺北市,士林區,福順里,4,6,1,2,3,264,739,18,1442
臺北市,士林區,福順里,3,17,1,2,4,325,732,12,1487
臺北市,士林區,福順里,1,11,7,2,4,335,801,16,1570
臺北市,士林區,富光里,2,14,2,2,3,279,774,14,1600
臺北市,士林區,富光里,1,14,4,2,4,339,865,13,1734
臺北市,士林區,富光里,1,10,2,0,2,355,853,11,1675
臺北市,士林區,葫蘆里,1,15,1,2,6,293,858,14,1547
臺北市,士林區,葫蘆里,2,8,1,3,11,431,706,19,1581
臺北市,士林區,葫蘆里,1,12,0,0,3,550,679,16,1665
臺北市,士林區,葫蘆里,1,18,2,0,2,376,844,14,1617
臺北市,士林區,葫東里,0,10,1,2,8,350,959,17,1764
臺北市,士林區,葫東里,2,17,2,3,9,354,829,13,1684
臺北市,士林區,社子里,0,6,1,1,2,268,631,13,1270
臺北市,士林區,社子里,2,16,2,1,8,305,643,9,1370
臺北市,士林區,社子里,1,14,0,1,1,255,751,19,1407
臺北市,士林區,社子里,1,7,3,0,5,295,730,14,1395
臺北市,士林區,社新里,2,10,5,3,6,347,844,13,1640
臺北市,士林區,社新里,4,10,2,3,2,267,718,14,1419
臺北市,士林區,社新里,3,14,0,2,8,327,739,6,1508
臺北市,士林區,社新里,0,6,1,0,4,296,759,13,1541
臺北市,士林區,社新里,1,10,1,0,6,299,716,14,1361
臺北市,士林區,社園里,1,7,2,0,1,291,806,12,1526
臺北市,士林區,社園里,0,12,4,3,3,283,782,15,1449
臺北市,士林區,社園里,2,5,1,1,6,278,804,9,1486
臺北市,士林區,社園里,0,10,3,2,3,347,913,15,1686
臺北市,士林區,永倫里,2,8,2,2,4,301,847,13,1626
臺北市,士林區,永倫里,0,11,1,0,0,259,675,7,1333
臺北市,士林區,永倫里,1,8,3,1,4,382,836,12,1723
臺北市,士林區,永倫里,2,10,3,1,4,302,876,16,1647
臺北市,士林區,福安里,1,5,1,1,2,172,846,16,1337
臺北市,士林區,福安里,1,12,0,2,3,169,862,20,1374
臺北市,士林區,福安里,2,14,2,1,5,175,856,16,1347
臺北市,士林區,富洲里,1,10,2,0,4,238,907,15,1543
臺北市,士林區,富洲里,1,6,2,0,1,196,867,17,1445
臺北市,士林區,富洲里,6,9,3,3,4,335,1062,17,1842
臺北市,士林區,岩山里,0,12,0,3,4,384,450,16,1289
