台北市,南港區,新富里,5,1129,3,7,1149,15,3206
台北市,南港區,中研里,7,2925,11,7,2255,43,7164
台北市,南港區,九如里,7,2260,10,10,1380,41,5092
台北市,南港區,舊莊里,4,2633,13,14,2502,61,7251
台北市,南港區,東新里,10,2140,10,18,1846,49,5547
台北市,南港區,重陽里,0,1514,3,3,849,13,3292
台北市,南港區,東明里,6,1718,3,1,1203,38,4206
台北市,南港區,西新里,7,1259,8,5,1571,25,3823
台北市,南港區,玉成里,4,1394,6,10,1443,27,3954
台北市,南港區,合成里,8,2162,6,10,1912,43,5711
台北市,南港區,新光里,5,1315,5,6,857,23,3092
台北市,南港區,聯成里,3,1799,1,10,1291,28,4131
台北市,南港區,萬福里,7,1527,2,9,1012,27,3502
台北市,南港區,鴻福里,4,1525,8,9,1241,38,3823
台北市,南港區,百福里,4,1536,5,13,1374,27,4144
台北市,南港區,成福里,5,2198,5,6,1514,34,5301
台北市,南港區,仁福里,6,2029,10,11,1111,26,4511
台北市,松山區,莊敬里,6,1930,6,6,1329,19,4637
台北市,松山區,東榮里,6,2674,7,14,1938,31,6656
台北市,松山區,三民里,4,2315,2,6,1481,16,5611
台北市,松山區,新益里,3,1457,4,11,1260,18,3854
台北市,松山區,富錦里,4,1744,7,7,1155,22,4248
台北市,松山區,新東里,7,1588,5,7,1180,19,4039
台北市,松山區,富泰里,5,1697,4,9,839,14,3797
台北市,松山區,介壽里,0,1433,5,12,1179,20,3702
台北市,松山區,精忠里,2,1480,3,6,928,8,3610
台北市,松山區,東光里,7,2510,9,7,1568,29,5985
台北市,松山區,龍田里,5,4100,8,8,1491,33,8074
台北市,松山區,東昌里,4,843,2,3,700,16,2236
台北市,松山區,東勢里,3,1404,3,1,1124,17,3633
台北市,松山區,中華里,5,2131,11,8,1332,12,5034
台北市,松山區,民有里,8,2596,4,13,2243,39,7091
台北市,松山區,民福里,5,2419,3,9,1340,33,5313
台北市,松山區,松基里,4,1213,4,9,1079,10,3079
台北市,松山區,慈祐里,1,1691,6,8,1922,35,6373
台北市,松山區,安平里,12,2424,8,13,2427,40,6750
台北市,松山區,鵬程里,6,2260,4,12,1028,21,4695
台北市,松山區,自強里,4,4643,7,17,957,46,8024
台北市,松山區,吉祥里,6,2747,3,10,1936,48,6997
台北市,松山區,新聚里,1,2400,8,9,2086,35,6453
台北市,松山區,復盛里,5,2310,6,5,1563,25,5348
台北市,松山區,中正里,5,2671,7,7,2260,39,7238
台北市,松山區,中崙里,4,1254,3,4,945,20,3165
台北市,松山區,美仁里,1,991,3,4,892,14,2633
台北市,松山區,吉仁里,3,1323,5,5,936,21,3245
